file,line,start,end,speaker,speaker_role,word_count,duration,text,year
12-1036,0,0.0,8.951,John_G_Roberts_Jr,scotus_justice,15,8.951,"We'll hear argument next today in Case 12-1036, Mississippi v. AU Optronics Corporation. Mr. Massey.",12
12-1036,2,117.344,137.275,Ruth_Bader_Ginsburg,scotus_justice,37,19.931,"Mr. Massey, with respect to that, there is a claim for restitution. I take it if the suit is successful, the money that's collected will be distributed to all the people who are affected by this conduct.",12
12-1036,4,211.401,212.291,Anthony_M_Kennedy,scotus_justice,8,0.89,"And you're asking for $10,000 for each one?",12
12-1036,6,213.338,216.259,Anthony_M_Kennedy,scotus_justice,7,2.921,"You're asking for $10,000 for each one.",12
12-1036,8,231.831,247.106,Sonia_Sotomayor,scotus_justice,28,15.275,Let's assume a case where -- forget about that the consumer action was settled. And let's forget about a case in which the damages are difficult to prove.,12
12-1036,10,247.183,264.303,Sonia_Sotomayor,scotus_justice,39,17.12,"Let's think of a case in which the damages can be determined, and the State comes in on behalf of a class of consumers and says we're seeking their restitution. Does your argument change if the facts are different?",12
12-1036,12,312.429,319.143,Sonia_Sotomayor,scotus_justice,16,6.714,"So is this a real party in interest argument, or is it a statutory argument that--",12
12-1036,14,319.363,327.268,Sonia_Sotomayor,scotus_justice,15,7.905,"--the statute requires named plaintiffs as opposed to -- named or unnamed plaintiffs, but plaintiffs.",12
12-1036,16,356.808,358.1,Samuel_A_Alito_Jr,scotus_justice,8,1.292,What do you do with reference to persons?,12
12-1036,18,402.455,403.173,Samuel_A_Alito_Jr,scotus_justice,6,0.718,"Well, I -- I realize that.",12
12-1036,20,403.877,409.72,Samuel_A_Alito_Jr,scotus_justice,26,5.843,But I'm not sure why that -- why it wouldn't make sense to read two different terms in the same sentence to mean two different things.,12
12-1036,22,410.1,434.178,Samuel_A_Alito_Jr,scotus_justice,57,24.078,"The persons could be here, the citizens of Mississippi, who were damaged by the activity in question. The plaintiff -- plaintiffs, here there's one named plaintiff. The plaintiffs can refer to -- to the person or entity or multiple people or entities who were named as plaintiffs. So why -- I don't see what the inconsistency is.",12
12-1036,24,508.195,523.704,John_G_Roberts_Jr,scotus_justice,46,15.509,"What if you have an executor and he's administering an estate in which 100 people have equal shares to the estate, and the estate has a claim. And he brings it on behalf of the estate. Now, is that covered as a mass action or not?",12
12-1036,26,571.779,614.527,Ruth_Bader_Ginsburg,scotus_justice,77,42.748,"Mr. Massey, you envision one proceeding, it could be a class action on behalf of the individuals, that doesn't require everybody tot satisfy the amount in controversy, and then this action by the Attorney General, which does, among other things, seek restitution. Isn't there an overlap between those two claims, and how do we sort out -- you said -- at one point I think you described the restitution as “ disgorgement of ill gotten gains ”.",12
12-1036,28,615.464,635.004,Ruth_Bader_Ginsburg,scotus_justice,44,19.54,"But now we have the consumers who were affected, they've already been paid. So how does it work for the Attorney General's suit? What is the impact of the class action that has already gone forward and been completed on the Attorney General's claim?",12
12-1036,30,752.926,776.246,John_G_Roberts_Jr,scotus_justice,92,23.32,"Then it would make -- it would make no sense for a defendant in a class action brought by consumers to ever settle the case. It's going to have to pay twice. It's going to have to pay consumers, and then it's going to have to pay you because you can: Say, well, we want restitution and we are not going to distribute it to the class members, but we're entitled to it. And I assume the amount of the restitution is based on some estimate of the class, the consumers' claims.",12
